,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
0,3609232398663,CARREFOUR Scie sauteuse 750W+ 6 lames,CARREFOUR,Bricolage & auto,Outillage,False,49.9,
1,3615005718736,CARREFOUR Diable pliable en acier.,CARREFOUR,Bricolage & auto,Quincaillerie,False,19.9,
2,3165140799959,BOSCH Bosch IXO V Perceuse sans fil,BOSCH,Bricolage & auto,Outillage,False,49.95,
3,4893993380008,BURAGO Voiture de course MAY CHEONG,BURAGO,Bricolage & auto,Auto,False,7.75,
4,3700563201544,ECLAT Poussette de marché isotherme 46 litres 6 roues,ECLAT,Bricolage & auto,Moto,False,25.9,
5,0753759182335,GARMIN GPS Europe Drive 40 SE LM Edition Limité - 010-01956-2J - Noir,GARMIN,Bricolage & auto,Auto,False,109.9,
6,0818279017441,GOPRO Fixation frontale et latérale pour casque,GOPRO,Bricolage & auto,Auto,False,39.9,
7,0818279015713,GOPRO Système de support pour GoPro - AGTSM-001 - Noir,GOPRO,Bricolage & auto,Auto,False,39.8,
8,0818279010800,GOPRO Fixation frontale - ACHOM-001 - Noir,GOPRO,Bricolage & auto,Auto,False,21.99,
9,0818279015416,GOPRO ventouse de fixation gopro,GOPRO,Bricolage & auto,Auto,False,29.99,
10,0818279017458,GOPRO Kit de fixation pour GoPro - GPR-AGBAG-001 - Noir,GOPRO,Bricolage & auto,Auto,False,29.99,
11,4975769455186,JVC Autoradio Bluetooth 1 Din - KD-T801BT - Noir,JVC,Bricolage & auto,Auto,False,105.9,
12,4975769449758,JVC Autoradio numérique - KD-X351BT - Noir,JVC,Bricolage & auto,Auto,False,89.99,
13,3483070846513,LOGICOM GPS ULTI E538T - Noir,LOGICOM,Bricolage & auto,Auto,False,64.9,
14,3483070976517,MAPPY Gps Mappy Maxi E738 - MAPPY_MAXI_X738 - Gris,MAPPY,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,99.99,
15,3483070806517,MAPPY GPS ITI E438,MAPPY,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,69.99,
16,4017239205270,MARQUE GENERIQUE Étagère charge lourde - 5 plateaux - Acier et bois - 55.72.80.001,MARQUE GENERIQUE,Bricolage & auto,Auto,False,26.9,
17,3377885015298,MARQUE GENERIQUE Diable pliant en aluminium et polypropylène - DIABLO,MARQUE GENERIQUE,Bricolage & auto,Auto,False,23.9,
18,4897066491851,ML Chargeur 3 USB-A & 2 Outlets - HIDEBLISTWH - Blanc,ML,Bricolage & auto,Auto,False,29.9,
19,3700527310237,ML Prise Murale + 2 USB & 1 USB-C - ML310237 - Blanc,ML,Bricolage & auto,Auto,False,19.9,
20,3700165333810,MUVIT Support pour voiture - QTREK - Noir,MUVIT,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
21,8716184067525,ONEFORALL Transmetteur audio TV - -SV1770 - Noir,ONEFORALL,Bricolage & auto,Auto,False,39.99,
22,3615004514865,POSS Chargeur de voiture USB - PSCAC-1A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,7.9,
23,3615004514971,POSS Chargeur de voiture USB-C + Câble - PSCACC-2.4-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
24,3615004514933,POSS Chargeur de voiture USB + Câble Ligth - PSCACL-2.4A-18 - Noir,POSS,Bricolage & auto,Auto,False,22.9,
25,3615004514919,POSS Chargeur allume-cigare - PSCACDB-4.8A - Noir,POSS,Bricolage & auto,Auto,False,14.9,
26,3615004514902,POSS Chargeur mural - PSWC-2.4A - Blanc,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
27,3615004514889,POSS Chargeur de voiture USB x 2 - PSCACDB-3.4A-18 - Noir,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,16.9,
28,3615004514872,POSS Chargeur de voiture USB - PSCAC-2.4A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,9.9,
29,3615004378283,POSS Chargeur de voiture 2 ports USB - PSCACCA-5.4ABK-18 - Noir,POSS,Bricolage & auto,Auto,False,16.9,
30,3615004514896,POSS Chargeur mural 1A - PSWC-1A - Blanc,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,9.9,
31,3614611954958,POSS Batterie externe - PSPBLI2200 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,7.9,
32,3615004514964,POSS Chargeur mural 2.4 A avec câble USB-C - PSWCC-2.4 - Blanc,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,19.9,
33,3615004514940,POSS Chargeur avec câble micro USB - PSWCM - Blanc,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
34,3615004514926,POSS Chargeur de voiture USB + Câble - PSCACM-2.4A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,16.9,
35,8806088592091,SAMSUNG Chargeur allume-cigare - EP-LN915CBEGWW - Noir,SAMSUNG,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,29.9,
36,8806088592510,SAMSUNG Chargeur allume-cigare Fast charge - Noir,SAMSUNG,Bricolage & auto,Auto,False,34.9,
37,8801643635855,SAMSUNG Base de chargeur allume-cigare avec 2 ports USB - EP-L1100NB - Noir,SAMSUNG,Bricolage & auto,Auto,False,24.9,
38,3467452005507,SMOBY Majo vintage - Coffret 5 voitures miniature - Echelle 1/64 - 212052013.,SMOBY,"Maison, Loisir, Textile",Jeux et Jouets,False,15.1,
39,3367970040885,SUPERTOOTH Kit mains libres Bluetooth pour voiture Buddy,SUPERTOOTH,Bricolage & auto,Auto,False,59.9,
40,3303170078105,T'NB Chargeur allume-cigare 4x USB - CAC4USB8A,T'NB,Bricolage & auto,Auto,False,24.99,
41,3303170079973,T'NB Transmetteur FM Bluetooth + Kit mains libres,T'NB,Bricolage & auto,Auto,False,49.99,
42,3303170075173,T'NB Chargeur allume-cigare 2x USB - ACGPCAR48 - Noir,T'NB,Bricolage & auto,Auto,False,14.99,
43,3303170065501,T'NB Support voiture avec fixation intelligente pour smartphone jusqu'à 5.5'',T'NB,Bricolage & auto,Auto,False,14.99,
44,3303170065983,T'NB Chargeur allume-cigares - 3.1A,T'NB,Bricolage & auto,Auto,False,14.99,
45,3303170047088,T'NB Coque GPS ETGPCB1L,T'NB,Bricolage & auto,Auto,False,14.99,
46,3303170034422,T'NB Support de fixation pour GPS - ACDI034422 - Noir,T'NB,Bricolage & auto,Auto,False,14.99,
47,3303170038970,T'NB Support voiture Universel pour grille d'aération,T'NB,Bricolage & auto,Auto,False,14.99,
48,0636926039826,TOMTOM Adaptateur allume-cigare - 9UUC.001.01 - Noir,TOMTOM,Bricolage & auto,Auto,False,14.99,
49,0636926100397,"TOMTOM GPS Go Basic 6"" - 1BA6.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,179.9,
50,0636926101301,TOMTOM GPS Go Essential 5’’- 1PN5.002.10 - Noir,TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,199.9,
51,0636926092210,TOMTOM Chargeur allume-cigare - 9UUC.001.25 - Noir,TOMTOM,Bricolage & auto,Auto,False,9.99,
52,0636926100410,"TOMTOM GPS Go Basic 5"" - 1BA5.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,159.9,
53,0636926083782,TOMTOM GPS Voiture START 52 EUROPE,TOMTOM,Bricolage & auto,Auto,False,149.9,
54,0636926092296,TOMTOM Chargeur double haute vitesse pour TomTom -  9UUC.001.26 - Noir,TOMTOM,Bricolage & auto,Auto,False,24.99,
55,0636926083768,TOMTOM GPS Voiture START 42 EUROPE,TOMTOM,Bricolage & auto,Auto,False,129.9,
56,0636926100410,"GPS Go Basic 5"" - 1BA5.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",True,159.9,159.90 € / Pièce
57,0636926100397,"GPS Go Basic 6"" - 1BA6.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",True,179.9,179.90 € / Pièce
58,3615005718736,CARREFOUR Diable pliable en acier.,CARREFOUR,Bricolage & auto,Quincaillerie,False,19.9,
59,3609232398663,CARREFOUR Scie sauteuse 750W+ 6 lames,CARREFOUR,Bricolage & auto,Outillage,False,49.9,
60,3165140799959,BOSCH Bosch IXO V Perceuse sans fil,BOSCH,Bricolage & auto,Outillage,False,49.95,
61,4893993380008,BURAGO Voiture de course MAY CHEONG,BURAGO,Bricolage & auto,Auto,False,7.75,
62,3700563201544,ECLAT Poussette de marché isotherme 46 litres 6 roues,ECLAT,Bricolage & auto,Moto,False,25.9,
63,0753759182335,GARMIN GPS Europe Drive 40 SE LM Edition Limité - 010-01956-2J - Noir,GARMIN,Bricolage & auto,Auto,False,109.9,
64,0818279017441,GOPRO Fixation frontale et latérale pour casque,GOPRO,Bricolage & auto,Auto,False,39.9,
65,0818279015713,GOPRO Système de support pour GoPro - AGTSM-001 - Noir,GOPRO,Bricolage & auto,Auto,False,39.8,
66,0818279010800,GOPRO Fixation frontale - ACHOM-001 - Noir,GOPRO,Bricolage & auto,Auto,False,21.99,
67,0818279015416,GOPRO ventouse de fixation gopro,GOPRO,Bricolage & auto,Auto,False,29.99,
68,0818279017458,GOPRO Kit de fixation pour GoPro - GPR-AGBAG-001 - Noir,GOPRO,Bricolage & auto,Auto,False,29.99,
69,4975769455186,JVC Autoradio Bluetooth 1 Din - KD-T801BT - Noir,JVC,Bricolage & auto,Auto,False,105.9,
70,4975769449758,JVC Autoradio numérique - KD-X351BT - Noir,JVC,Bricolage & auto,Auto,False,89.99,
71,3483070846513,LOGICOM GPS ULTI E538T - Noir,LOGICOM,Bricolage & auto,Auto,False,64.9,
72,3483070976517,MAPPY Gps Mappy Maxi E738 - MAPPY_MAXI_X738 - Gris,MAPPY,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,99.99,
73,3483070806517,MAPPY GPS ITI E438,MAPPY,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,69.99,
74,4017239205270,MARQUE GENERIQUE Étagère charge lourde - 5 plateaux - Acier et bois - 55.72.80.001,MARQUE GENERIQUE,Bricolage & auto,Auto,False,26.9,
75,3377885015298,MARQUE GENERIQUE Diable pliant en aluminium et polypropylène - DIABLO,MARQUE GENERIQUE,Bricolage & auto,Auto,False,23.9,
76,3700527310237,ML Prise Murale + 2 USB & 1 USB-C - ML310237 - Blanc,ML,Bricolage & auto,Auto,False,19.9,
77,4897066491851,ML Chargeur 3 USB-A & 2 Outlets - HIDEBLISTWH - Blanc,ML,Bricolage & auto,Auto,False,29.9,
78,3700165333810,MUVIT Support pour voiture - QTREK - Noir,MUVIT,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
79,8716184067525,ONEFORALL Transmetteur audio TV - -SV1770 - Noir,ONEFORALL,Bricolage & auto,Auto,False,39.99,
80,3615004514865,POSS Chargeur de voiture USB - PSCAC-1A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,7.9,
81,3615004514971,POSS Chargeur de voiture USB-C + Câble - PSCACC-2.4-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
82,3615004514933,POSS Chargeur de voiture USB + Câble Ligth - PSCACL-2.4A-18 - Noir,POSS,Bricolage & auto,Auto,False,22.9,
83,3615004514919,POSS Chargeur allume-cigare - PSCACDB-4.8A - Noir,POSS,Bricolage & auto,Auto,False,14.9,
84,3615004514902,POSS Chargeur mural - PSWC-2.4A - Blanc,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
85,3615004514940,POSS Chargeur avec câble micro USB - PSWCM - Blanc,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,14.9,
86,3615004514926,POSS Chargeur de voiture USB + Câble - PSCACM-2.4A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,16.9,
87,3615004514889,POSS Chargeur de voiture USB x 2 - PSCACDB-3.4A-18 - Noir,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,16.9,
88,3615004514872,POSS Chargeur de voiture USB - PSCAC-2.4A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,9.9,
89,3615004378283,POSS Chargeur de voiture 2 ports USB - PSCACCA-5.4ABK-18 - Noir,POSS,Bricolage & auto,Auto,False,16.9,
90,3615004514896,POSS Chargeur mural 1A - PSWC-1A - Blanc,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,9.9,
91,3614611954958,POSS Batterie externe - PSPBLI2200 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,7.9,
92,3615004514964,POSS Chargeur mural 2.4 A avec câble USB-C - PSWCC-2.4 - Blanc,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,19.9,
93,8806088592091,SAMSUNG Chargeur allume-cigare - EP-LN915CBEGWW - Noir,SAMSUNG,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,29.9,
94,8806088592510,SAMSUNG Chargeur allume-cigare Fast charge - Noir,SAMSUNG,Bricolage & auto,Auto,False,34.9,
95,8801643635855,SAMSUNG Base de chargeur allume-cigare avec 2 ports USB - EP-L1100NB - Noir,SAMSUNG,Bricolage & auto,Auto,False,24.9,
96,3467452005507,SMOBY Majo vintage - Coffret 5 voitures miniature - Echelle 1/64 - 212052013.,SMOBY,"Maison, Loisir, Textile",Jeux et Jouets,False,15.1,
97,3367970040885,SUPERTOOTH Kit mains libres Bluetooth pour voiture Buddy,SUPERTOOTH,Bricolage & auto,Auto,False,59.9,
98,3303170078105,T'NB Chargeur allume-cigare 4x USB - CAC4USB8A,T'NB,Bricolage & auto,Auto,False,24.99,
99,3303170079973,T'NB Transmetteur FM Bluetooth + Kit mains libres,T'NB,Bricolage & auto,Auto,False,49.99,
100,3303170075173,T'NB Chargeur allume-cigare 2x USB - ACGPCAR48 - Noir,T'NB,Bricolage & auto,Auto,False,14.99,
101,3303170065501,T'NB Support voiture avec fixation intelligente pour smartphone jusqu'à 5.5'',T'NB,Bricolage & auto,Auto,False,14.99,
102,3303170065983,T'NB Chargeur allume-cigares - 3.1A,T'NB,Bricolage & auto,Auto,False,14.99,
103,3303170047088,T'NB Coque GPS ETGPCB1L,T'NB,Bricolage & auto,Auto,False,14.99,
104,3303170034422,T'NB Support de fixation pour GPS - ACDI034422 - Noir,T'NB,Bricolage & auto,Auto,False,14.99,
105,3303170038970,T'NB Support voiture Universel pour grille d'aération,T'NB,Bricolage & auto,Auto,False,14.99,
106,0636926039826,TOMTOM Adaptateur allume-cigare - 9UUC.001.01 - Noir,TOMTOM,Bricolage & auto,Auto,False,14.99,
107,0636926083782,TOMTOM GPS Voiture START 52 EUROPE,TOMTOM,Bricolage & auto,Auto,False,149.9,
108,0636926092296,TOMTOM Chargeur double haute vitesse pour TomTom -  9UUC.001.26 - Noir,TOMTOM,Bricolage & auto,Auto,False,24.99,
109,0636926083768,TOMTOM GPS Voiture START 42 EUROPE,TOMTOM,Bricolage & auto,Auto,False,129.9,
110,0636926100397,"TOMTOM GPS Go Basic 6"" - 1BA6.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,179.9,
111,0636926101301,TOMTOM GPS Go Essential 5’’- 1PN5.002.10 - Noir,TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,199.9,
112,0636926092210,TOMTOM Chargeur allume-cigare - 9UUC.001.25 - Noir,TOMTOM,Bricolage & auto,Auto,False,9.99,
113,0636926100410,"TOMTOM GPS Go Basic 5"" - 1BA5.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,159.9,
114,0636926100410,"GPS Go Basic 5"" - 1BA5.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",True,159.9,159.90 € / Pièce
115,0636926100397,"GPS Go Basic 6"" - 1BA6.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",True,179.9,179.90 € / Pièce
